cik,company_name,risk_score,predicted,prob_actively_filing,prob_deregistered_or_delisted,prob_stalled_filing
0001739174,BiomX Inc.,64.4,deregistered_or_delisted,0.264016335027798,0.552732230871317,0.1832514341008854
0001566044,"Menlo Therapeutics, Inc.",62.6,deregistered_or_delisted,0.3513577299739265,0.6025667543632098,0.0460755156628633
0001533040,Phio Pharmaceuticals Corp.,62.4,deregistered_or_delisted,0.2446840217308148,0.4924870458353804,0.2628289324338048
0001582554,"Matinas BioPharma Holdings, Inc.",59.2,deregistered_or_delisted,0.264350860819262,0.4493283920012041,0.2863207471795336
0001445283,"PROTEOSTASIS THERAPEUTICS, INC.",57.2,deregistered_or_delisted,0.3428624395937893,0.4867973973131096,0.1703401630931011
0001661998,"Homology Medicines, Inc.",56.9,deregistered_or_delisted,0.2476772300107149,0.385183497450734,0.3671392725385513
0001404644,"AQUINOX PHARMACEUTICALS, INC",54.5,deregistered_or_delisted,0.3890466895427918,0.4799680317956318,0.1309852786615762
0001618835,"Evofem Biosciences, Inc.",53.2,deregistered_or_delisted,0.3523266016339699,0.4154280523323184,0.2322453460337116
0001638287,Gemphire Therapeutics Inc.,52.3,deregistered_or_delisted,0.3420853873297354,0.3886498046044626,0.269264808065802
0001682639,"EYENOVIA, INC.",51.0,deregistered_or_delisted,0.4284374710428438,0.4480441880968969,0.1235183408602591
0001622229,"Unum Therapeutics, Inc.",50.8,deregistered_or_delisted,0.4298017925851159,0.4456176410382415,0.1245805663766427
0001720580,"resTORbio, Inc.",50.6,deregistered_or_delisted,0.4272273017357959,0.4388920484462233,0.1338806498179807
0001553643,"RELMADA THERAPEUTICS, INC.",50.4,stalled_filing,0.290198079246431,0.2981893654830474,0.4116125552705212
0001488039,Atossa Genetics Inc,50.3,stalled_filing,0.2706304492326196,0.2762546962266241,0.453114854540756
